epoch,elapsed_seconds,touched_nodes,exploitability
101,3,30077454,0.056303637332
200,6,59270277,0.035292125642
299,9,88463100,0.028297144844
380,13,112348137,0.023088375233
479,16,141540960,0.020803377431
572,19,168964521,0.016917077081
652,23,192554681,0.016213715335
748,26,220862873,0.015330459897
846,29,249760819,0.013304406787
927,32,273645856,0.013406998027
1024,36,302248925,0.011684346194
1116,39,329377609,0.012552490430
1196,42,352967769,0.011306501888
1293,46,381570838,0.011625151617
1391,49,410468784,0.011105192332
1488,53,439071853,0.010173133494
1584,56,467380045,0.009658268634
1681,59,495983114,0.009740156618
1779,63,524881060,0.008928376751
1859,66,548471220,0.008743390471
1952,69,575894781,0.009336417055
2049,72,604497850,0.008933483664
2128,76,627793133,0.007814916997
2225,79,656396202,0.007724890566
2323,82,685294148,0.007977140194
2401,85,708294554,0.007962101740
2496,89,736307869,0.007973625456
2594,92,765205815,0.007586539999
2675,95,789090852,0.006447043239
2773,99,817988798,0.006299384314
2872,102,847181621,0.006968768830
2964,106,874310305,0.006270177761
3063,109,903503128,0.006594741673
3160,112,932106197,0.006195981651
3259,116,961299020,0.006265936637
3339,119,984889180,0.006097540727
3436,122,1013492249,0.006065344795
3532,125,1041800441,0.006139101603
3612,129,1065390601,0.005997196919
3711,132,1094583424,0.005659427156
3810,135,1123776247,0.005605627651
3890,139,1147366407,0.006242240818
3986,142,1175674599,0.005828924421
4085,145,1204867422,0.005428644636
4166,148,1228752459,0.005426668438
4263,152,1257355528,0.005646358404
4362,155,1286548351,0.005017256654
4454,159,1313677035,0.004942262019
4552,162,1342574981,0.004904480074
4649,165,1371178050,0.004996465444
4747,169,1400075996,0.004946593399
4823,172,1422486648,0.005096210542
4921,175,1451384594,0.004990065546
5017,178,1479692786,0.004854698689
5095,182,1502693192,0.004972483887
5191,185,1531001384,0.005039747251
5289,188,1559899330,0.005283061580
5369,192,1583489490,0.004954173725
5468,195,1612682313,0.004628364783
5565,198,1641285382,0.004821853445
5645,201,1664875542,0.004749151836
5740,205,1692888857,0.004776565923
5838,208,1721786803,0.004704615764
5931,212,1749210364,0.004448922618
6028,215,1777813433,0.004438324875
6123,218,1805826748,0.004588134602
6221,222,1834724694,0.004679495807
6300,225,1858019977,0.004539544302
6398,228,1886917923,0.004540037245
6494,232,1915226115,0.004249494617
6573,235,1938521398,0.004388648664
6671,238,1967419344,0.004471207781
6768,241,1996022413,0.004540751862
6847,245,2019317696,0.004437885245
6944,248,2047920765,0.004251465030
7041,251,2076523834,0.003963195213
7120,255,2099819117,0.003979177267
7214,258,2127537555,0.004102783425
7312,261,2156435501,0.003900294254
7404,265,2183564185,0.003868147763
7501,268,2212167254,0.003913948453
7599,271,2241065200,0.004123631856
7697,275,2269963146,0.004240923736
7776,278,2293258429,0.004121777295
7873,281,2321861498,0.004086979968
7967,285,2349579936,0.004199181643
8046,288,2372875219,0.004177353200
8144,291,2401773165,0.004151255589
8242,294,2430671111,0.004071662171
8320,298,2453671517,0.003903516506
8376,300,2470184629,0.003792206712
