epoch,elapsed_seconds,touched_nodes,exploitability
192103,3,36138479,0.019352654018
386106,6,72010518,0.013526955966
577137,9,107978412,0.010359491059
746167,13,138352656,0.009342399042
944332,16,174754139,0.007641021635
1139195,19,210898251,0.006540324653
1323843,22,241553658,0.005930472639
1545539,26,279052095,0.004632279880
1775500,29,316583539,0.004602852625
1953974,32,347108892,0.004696862473
2170211,36,384553740,0.004331921632
2395441,39,422508859,0.004113873391
2571495,42,452919066,0.003755189826
2792694,45,490536871,0.003646955234
3021759,49,528009860,0.003728020641
3231726,53,564755121,0.003680503257
3451816,56,601257090,0.002915633803
3666818,59,637556059,0.003353880787
3877533,63,673615295,0.003060696713
4057871,66,703148017,0.003122233947
4280772,69,740153955,0.003026733289
4492354,72,776617039,0.002804372276
4661592,76,806329839,0.002951995641
4870851,79,842714663,0.002866567805
5069509,82,877899548,0.002723589296
5220820,86,905476114,0.002616622711
5430331,89,942195970,0.002671125764
5638240,92,979232559,0.002512804970
5804310,95,1008175743,0.002710878562
6026547,99,1045702091,0.002551985729
6246307,102,1082809212,0.002564976230
6452019,106,1118174947,0.002452400585
6660116,109,1153582483,0.002276169916
6880762,112,1190143599,0.002298514327
7116433,116,1227886259,0.002273376611
7294010,119,1256869565,0.002206884832
7516321,122,1294179359,0.002193959536
7736972,126,1331632933,0.002048856847
7907298,129,1361550412,0.002180212733
8119542,132,1398304406,0.002097658988
8332613,135,1435078990,0.002047656354
8511024,139,1465519002,0.002197659938
8727255,142,1503190949,0.001824752935
8952813,145,1540547648,0.002093865561
9135539,149,1570819296,0.002007580279
9352332,152,1608301003,0.001880981076
9570915,155,1646184751,0.001857629196
9771777,159,1679985757,0.001900242814
9995852,162,1717662206,0.001820044425
10219456,165,1755600061,0.001862917663
10455997,169,1793638222,0.001797087115
10629513,172,1823452424,0.001808466258
10846407,175,1861084605,0.001830592367
11067537,179,1899090531,0.001792977180
11242073,182,1928932240,0.001743035012
11467318,185,1966205783,0.001636150276
11687208,188,2003823153,0.001682484274
11867427,192,2034567041,0.001907984020
12074382,195,2071902537,0.001796721394
12308648,198,2109664900,0.001787973051
12495042,202,2140760466,0.001736050928
12719925,205,2178468905,0.001684894058
12947513,208,2216291936,0.001612428197
13172291,212,2252569598,0.001707868624
13409083,215,2290985247,0.001680355959
13631423,218,2328169064,0.001753562794
13854242,222,2365569915,0.001677181846
14022413,225,2395709405,0.001755170884
14229587,228,2432149936,0.001665159956
14438955,232,2469648862,0.001668795827
14611475,235,2500102733,0.001540984567
14834486,238,2537965134,0.001661712114
15058216,241,2574987564,0.001649233070
15236411,245,2605406697,0.001785114787
15447808,248,2641515156,0.001684430270
15673754,251,2678738163,0.001678408586
15855967,255,2709486455,0.001738107913
16062420,258,2745399101,0.001629680054
16274242,261,2782741426,0.001725457664
16492172,265,2819422831,0.001712654812
16721552,268,2857341148,0.001542798740
16935959,271,2894800659,0.001736219514
17152530,275,2931320061,0.001651594507
17335210,278,2962097523,0.001516194435
17550846,281,2999592868,0.001609356490
17765138,284,3035781698,0.001570056188
17950814,288,3066501766,0.001586792944
18182684,291,3104673950,0.001471487483
18400246,294,3142312410,0.001522542197
18582520,298,3173183120,0.001482135171
18725419,300,3197555937,0.001429984104
