epoch,elapsed_seconds,touched_nodes,exploitability
11439522,36,629173765,0.000077001458
22977385,72,1263756230,0.000040587536
34463145,108,1895473030,0.000032777231
45977559,144,2528765800,0.000037896551
57404364,180,3157240075,0.000028005447
68929671,216,3791131960,0.000025556610
80481383,252,4426476120,0.000029272458
91994927,288,5059721040,0.000023997240
103429081,324,5688599510,0.000025151257
114840920,360,6316250655,0.000015540758
126315176,396,6947334735,0.000013055743
137815448,432,7579849695,0.000022642166
149207711,468,8206424160,0.000016640002
160734541,504,8840399810,0.000016734904
172235131,540,9472932260,0.000010718563
183735827,576,10105470540,0.000016053018
195295986,612,10741279285,0.000012869833
206844935,648,11376471480,0.000013068192
218429393,684,12013616670,0.000011982683
230026937,720,12651481590,0.000010011446
241465984,756,13280629175,0.000016027584
252933697,792,13911353390,0.000014402449
264276745,828,14535221030,0.000008404563
275556150,864,15155588305,0.000014846339
286934209,900,15781381550,0.000011589592
298391890,936,16411554005,0.000011888761
309915174,972,17045334625,0.000015096347
321455368,1008,17680045295,0.000013241744
333021102,1044,18316160665,0.000011712181
344525095,1080,18948880280,0.000010164817
356070605,1116,19583883330,0.000011243985
367608629,1152,20218474650,0.000009166572
379212333,1188,20856678370,0.000011791763
390740929,1224,21490751150,0.000007424600
402283620,1260,22125599155,0.000011567518
413792671,1296,22758596960,0.000007332014
425352343,1332,23394378920,0.000006459708
436936654,1368,24031516025,0.000006539758
448513178,1404,24668224845,0.000010013071
460020144,1440,25301107975,0.000006586952
471574348,1476,25936589195,0.000012224824
483092182,1512,26570070065,0.000009618785
494647821,1548,27205630210,0.000009885421
506167697,1584,27839223390,0.000009400662
517685057,1620,28472678190,0.000008355440
529218427,1656,29107013540,0.000005661290
540732949,1692,29740312250,0.000009124643
552245432,1728,30373498815,0.000009029051
563744335,1764,31005938480,0.000007777507
575190283,1800,31635465620,0.000006444207
586716510,1836,32269408105,0.000008742888
598176318,1872,32899697545,0.000010656538
609602317,1908,33528127490,0.000007701203
620997604,1944,34154868275,0.000006936796
632404851,1980,34782266860,0.000009974535
643863092,2016,35412470115,0.000009019982
655222332,2052,36037228315,0.000010360432
666532829,2088,36659305650,0.000010293445
677982248,2124,37289023695,0.000008342426
689326351,2160,37912949360,0.000008081276
700670195,2196,38536860780,0.000007428159
712168191,2232,39169250560,0.000006049536
723462697,2268,39790448390,0.000008668681
734912822,2304,40420205265,0.000006430470
746252540,2340,41043889755,0.000008541988
757667893,2376,41671734170,0.000007689049
769202040,2412,42306112255,0.000007502726
780524821,2448,42928865210,0.000006807269
791891731,2484,43554045260,0.000004959101
803353654,2520,44184451025,0.000007485420
814783113,2556,44813071270,0.000005052962
826303342,2592,45446683865,0.000006000435
837841688,2628,46081292895,0.000005066553
849286373,2664,46710750570,0.000005039119
860648983,2700,47335694120,0.000006509555
872041350,2736,47962274305,0.000005951023
883568040,2772,48596242255,0.000008710654
895061797,2808,49228398890,0.000005029732
906528684,2844,49859077675,0.000006506285
918000171,2880,50490009460,0.000004984424
929513417,2916,51123237990,0.000006958516
941063785,2952,51758508230,0.000006418155
952651654,2988,52395841025,0.000007420576
964209897,3024,53031544390,0.000008560198
975751847,3060,53666351640,0.000005847097
987286173,3096,54300739570,0.000004469047
998679870,3132,54927392905,0.000003970956
1010048161,3168,55552648910,0.000007205924
1021543557,3204,56184895690,0.000007916425
1032971951,3240,56813457360,0.000006588411
1044320551,3276,57437630360,0.000008141329
1055674596,3312,58062102835,0.000006529272
1067017911,3348,58685985160,0.000006494462
1078376909,3384,59310730050,0.000006973782
1089781374,3420,59937975625,0.000007164270
1101297814,3456,60571379825,0.000007022919
1112739426,3492,61200668485,0.000006557550
1124319697,3528,61837583390,0.000007768501
1135810952,3564,62469602415,0.000007886076
1147279823,3600,63100390320,0.000004793006
