epoch,elapsed_seconds,touched_nodes,exploitability
99103,72,1010959904,0.000897488095
199242,144,2032477843,0.000635078363
299081,216,3050935482,0.000429130341
398276,288,4062823677,0.000367094743
497961,360,5079710362,0.000334217794
597183,432,6091873984,0.000266077211
696370,504,7103680571,0.000353067581
795668,576,8116619469,0.000222973751
895010,648,9130007211,0.000230393206
994188,720,10141721989,0.000225907938
1093410,792,11153885611,0.000278159052
1192830,864,12168069031,0.000208917353
1292083,936,13180548884,0.000208786576
1390842,1008,14187989443,0.000168371004
1489888,1080,15198357689,0.000230623071
1589534,1152,16214846535,0.000155747195
1688789,1224,17227346790,0.000189860815
1787441,1296,18233695842,0.000193234350
1886703,1368,19246267504,0.000194174419
1985831,1440,20257472232,0.000159293533
2084817,1512,21267228418,0.000142298077
2183911,1584,22278086312,0.000120988431
2283826,1656,23297319227,0.000144132829
2382816,1728,24307116217,0.000127861823
2483931,1800,25338590332,0.000207640514
2583811,1872,26357466212,0.000141692873
2683541,1944,27374811942,0.000168436841
2782841,2016,28387771242,0.000160974236
2881872,2088,29397986473,0.000121403932
2981274,2160,30411986275,0.000154108318
3080299,2232,31422140300,0.000128583571
3179755,2304,32436690956,0.000128179963
3278879,2376,33447854880,0.000117466422
3377415,2448,34453020616,0.000121983390
3477049,2520,35469387050,0.000118334764
3576174,2592,36480561175,0.000136042335
3675331,2664,37492061732,0.000111994628
3774884,2736,38507601885,0.000117263544
3873983,2808,39518510784,0.000122012970
3973553,2880,40534224354,0.000096638675
4072382,2952,41542378983,0.000111720721
4171370,3024,42552155571,0.000098202043
4270783,3096,43566267584,0.000103674255
4370152,3168,44579930753,0.000098203969
4469346,3240,45591808747,0.000111421688
4568669,3312,46605002670,0.000113192327
4667482,3384,47612994083,0.000104333710
4766899,3456,48627146900,0.000115557558
4866402,3528,49642177003,0.000093241139
4965997,3600,50658145598,0.000102023590
5065435,3672,51672512636,0.000105113102
5165028,3744,52688460829,0.000094589932
5263962,3816,53697686563,0.000079222095
5363333,3888,54711370134,0.000090467579
5462100,3960,55718892301,0.000127399534
5561540,4032,56733279741,0.000124387237
5661226,4104,57750176627,0.000106782324
5760725,4176,58765165926,0.000109678619
5860107,4248,59778961708,0.000084748109
5959594,4320,60793828595,0.000081223449
6059188,4392,61809786989,0.000092273057
6158463,4464,62822491264,0.000112913781
6257608,4536,63833869409,0.000068534117
6356610,4608,64843788811,0.000096709193
6455593,4680,65853514394,0.000092213311
6554464,4752,66862097465,0.000089729713
6653974,4824,67877198975,0.000115220005
6753109,4896,68888475110,0.000074525664
6852319,4968,69900516320,0.000083554474
6951833,5040,70915658634,0.000105951769
7051275,5112,71930066476,0.000096274659
7151724,5184,72954746725,0.000084620596
7253201,5256,73989913602,0.000077837064
7353874,5328,75016878875,0.000092269121
7453315,5400,76031276516,0.000084690193
7553461,5472,77052865862,0.000085684601
7652918,5544,78067426719,0.000095784109
7751977,5616,79077927578,0.000074286654
7851359,5688,80091723360,0.000096283198
7949874,5760,81096674875,0.000073191647
8048795,5832,82105767996,0.000089619564
8148246,5904,83120267647,0.000093872279
8247535,5976,84133114736,0.000071325396
8346479,6048,85142442480,0.000073999601
8445858,6120,86156207659,0.000070435087
8545124,6192,87168820125,0.000076662291
8644543,6264,88182993344,0.000071160353
8744124,6336,89198819125,0.000066301348
8843489,6408,90212441490,0.000081581101
8942397,6480,91221401998,0.000089722315
9042005,6552,92237503206,0.000079983917
9141552,6624,93252982153,0.000093172723
9241405,6696,94271582606,0.000079208051
9340874,6768,95286265875,0.000085286329
9439983,6840,96297276784,0.000063149709
9539413,6912,97311562214,0.000076801328
9638309,6984,98320400310,0.000092558167
9737507,7056,99332319108,0.000072710596
9836339,7128,100340504340,0.000086218415
9935074,7200,101347700075,0.000068694013
